Time,Time(approx),Data Count,Event Type,Duration (s),Waking Day,Cumulative Step Count,Activity Score (MET.h),AbsSumDiffX,AbsSumDiffY,AbsSumDiffZ,Time Upright (s),Time Upside Down (s),Time Back Lying (s),Time Front Lying (s),Time Left Lying (s),Time Right Lying (s)
44091.45418,2020/9/17 10:54,32554,2,1.7,1,71,0.001383333,355,421,443,1.7,0,0,0,0,0
44091.4542,2020/9/17 10:54,32571,2,3.7,1,72,0.002161111,422,726,529,3.7,0,0,0,0,0
44091.45425,2020/9/17 10:54,32608,1,18.9,1,72,0.00735,1337,2152,1816,18.9,0,0,0,0,0
44091.45446,2020/9/17 10:54,32797,0,222.1,1,72,0.077118056,1381,1956,1471,2.9,0,219.2,0,0,0
44091.45703,2020/9/17 10:58,35018,1,17.8,1,72,0.006922222,358,486,349,17.8,0,0,0,0,0
44091.45724,2020/9/17 10:58,35196,0,502.8,1,72,0.174583333,574,772,706,0,0,502.8,0,0,0
44091.46306,2020/9/17 11:06,40224,1,28.3,1,72,0.011005556,347,472,485,28.3,0,0,0,0,0
44091.46339,2020/9/17 11:07,40507,0,138.2,1,72,0.047986111,517,735,553,2.4,0,135.8,0,0,0
44091.46499,2020/9/17 11:09,41889,1,5.7,1,72,0.002216667,237,303,270,5.7,0,0,0,0,0
44091.46505,2020/9/17 11:09,41946,2,1.9,1,73,0.001461111,304,467,472,1.9,0,0,0,0,0
44091.46508,2020/9/17 11:09,41965,2,1.9,1,74,0.001461111,623,751,450,1.9,0,0,0,0,0
44091.4651,2020/9/17 11:09,41984,2,0.8,1,75,0.001033333,174,229,175,0.8,0,0,0,0,0
44091.46511,2020/9/17 11:09,41992,2,1.2,1,76,0.001188889,437,495,569,1.2,0,0,0,0,0
44091.46512,2020/9/17 11:09,42004,2,1.2,1,77,0.001188889,415,556,351,1.2,0,0,0,0,0
44091.46513,2020/9/17 11:09,42016,1,235.6,1,77,0.091622222,2727,4648,3986,235.6,0,0,0,0,0
44091.46786,2020/9/17 11:13,44372,2,3.5,1,78,0.002083333,281,327,263,3.5,0,0,0,0,0
44091.4679,2020/9/17 11:13,44407,1,17.7,1,78,0.006883333,700,1188,876,17.7,0,0,0,0,0
44091.46811,2020/9/17 11:14,44584,2,1.7,1,79,0.001383333,457,599,767,1.7,0,0,0,0,0
44091.46813,2020/9/17 11:14,44601,2,1.2,1,80,0.001188889,516,426,500,1.2,0,0,0,0,0
44091.46814,2020/9/17 11:14,44613,2,1.3,1,81,0.001227778,423,532,519,1.3,0,0,0,0,0
44091.46816,2020/9/17 11:14,44626,2,3.2,1,82,0.001966667,487,499,568,3.2,0,0,0,0,0
44091.46819,2020/9/17 11:14,44658,2,3,1,83,0.001888889,493,606,805,3,0,0,0,0,0
44091.46823,2020/9/17 11:14,44688,1,7.2,1,83,0.0028,763,1119,1040,7.2,0,0,0,0,0
44091.46831,2020/9/17 11:14,44760,2,0.9,1,84,0.001072222,369,342,415,0.9,0,0,0,0,0
44091.46832,2020/9/17 11:14,44769,2,2,1,85,0.0015,298,559,703,2,0,0,0,0,0
44091.46834,2020/9/17 11:14,44789,2,3.5,1,86,0.002083333,483,475,344,3.5,0,0,0,0,0
44091.46838,2020/9/17 11:14,44824,2,0.9,1,87,0.001072222,148,249,205,0.9,0,0,0,0,0
44091.46839,2020/9/17 11:14,44833,2,1.3,1,88,0.001227778,437,454,366,1.3,0,0,0,0,0
44091.46841,2020/9/17 11:14,44846,2,1.1,1,89,0.00115,294,407,445,1.1,0,0,0,0,0
44091.46842,2020/9/17 11:14,44857,2,3.4,1,90,0.002044444,240,308,313,3.4,0,0,0,0,0
44091.46846,2020/9/17 11:14,44891,2,1.5,1,91,0.001305556,115,130,100,1.5,0,0,0,0,0
44091.46848,2020/9/17 11:14,44906,2,5,1,92,0.002666667,402,600,493,5,0,0,0,0,0
44091.46854,2020/9/17 11:14,44956,2,1.5,1,93,0.001305556,398,476,247,1.5,0,0,0,0,0
44091.46855,2020/9/17 11:14,44971,2,1.2,1,94,0.001188889,407,496,496,1.2,0,0,0,0,0
44091.46857,2020/9/17 11:14,44983,2,1,1,95,0.001111111,411,554,609,1,0,0,0,0,0
44091.46858,2020/9/17 11:14,44993,2,1.3,1,96,0.001227778,313,360,527,1.3,0,0,0,0,0
44091.46859,2020/9/17 11:14,45006,1,346.1,1,96,0.134594444,3198,5659,4321,346.1,0,0,0,0,0
44091.4726,2020/9/17 11:20,48467,2,3.4,1,97,0.002044444,212,186,246,3.4,0,0,0,0,0
44091.47264,2020/9/17 11:20,48501,1,12.6,1,97,0.0049,388,735,578,12.6,0,0,0,0,0
44091.47279,2020/9/17 11:20,48627,2,1.3,1,98,0.001227778,357,289,368,1.3,0,0,0,0,0
44091.4728,2020/9/17 11:20,48640,2,1.2,1,99,0.001188889,251,343,435,1.2,0,0,0,0,0
44091.47281,2020/9/17 11:20,48652,2,1.2,1,100,0.001188889,308,491,566,1.2,0,0,0,0,0
44091.47283,2020/9/17 11:20,48664,2,1.5,1,101,0.001305556,404,395,431,1.5,0,0,0,0,0
44091.47285,2020/9/17 11:20,48679,2,3.3,1,102,0.002005556,612,594,837,3.3,0,0,0,0,0
44091.47288,2020/9/17 11:20,48712,1,3.1,1,102,0.001205556,233,430,247,3.1,0,0,0,0,0
44091.47292,2020/9/17 11:21,48743,5,360.8,1,102,0.125277778,6602,10289,6894,29.3,0,331.5,0,0,0
